Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
28550	D000069278	Arterial Switch Operation	Main Heading	Procedure	MeSH	Valid	Non-standard
76798	17718000	Ostium primum defect	Disorder	Condition	SNOMED	Valid	Standard
313217	49436004	Atrial fibrillation	Disorder	Condition	SNOMED	Valid	Standard
314665	5370000	Atrial flutter	Disorder	Condition	SNOMED	Valid	Standard
434467	204315000	Ostium secundum type atrial septal defect	Disorder	Condition	SNOMED	Valid	Standard
438172	194863005	Atrial septal defect due to and following acute myocardial infarction	Disorder	Condition	SNOMED	Valid	Standard
441409	81990004	Cor biloculare	Disorder	Condition	SNOMED	Valid	Standard
581516	b83c62be-8e9d-4fa2-aa10-d34c88bf2387	KOLORZ NEUTRAL FLUORIDE FOAM TRIPLE MINT - sodium fluoride aerosol, foam	Prescription Drug	Drug	SPL	Valid	Classification
581563	e32c338f-b046-46f9-a5d6-0b3f532f15d2	PENTREXCILINA TRIPLE ANTIBIOTIC PLUS PAIN RELIEF - bacitracin, neomycin, polymyxin b, pramoxine ointment	OTC Drug	Drug	SPL	Valid	Classification
582152	0d25971c-a335-4603-bb98-ad49bcae8dce	sodium fluoride .9mg/g DENTAL AEROSOL, FOAM [kolorz neutral fluoride foam triple mint]	Prescription Drug	Drug	SPL	Valid	Classification
582172	1810cfc8-666f-42d2-8783-9768b3c19801	atropa belladonna and euphrasia stricta and mercuric chloride 6[hp_X]/.4mL OPHTHALMIC SOLUTION/ DROPS [dry eye relief]	OTC Drug	Drug	SPL	Valid	Classification
582256	3becc84b-a4ce-4aff-a7f1-64de3178f3e1	sodium fluoride 1.23g/g / 1.23mg/g DENTAL AEROSOL, FOAM [kolorz sixty second fluoride foam blue raspberry, kolorz sixty second fluoride foam cherry cheesecake, kolorz sixty second fluoride foam cotton candy, kolorz sixty second fluoride foam triple mint]	Prescription Drug	Drug	SPL	Valid	Classification
582331	55ca647e-8b7a-4893-a510-d6b3155f6e47	bacitracin, neomycin, polymyxin b, pramoxine 5mg/g / 10mg/g / 500[iU]/g / 5000[iU]/g TOPICAL OINTMENT [pentrexcilina triple antibiotic plus pain relief]	OTC Drug	Drug	SPL	Valid	Classification
