Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept
763376,439421000124102,"Local AIDS pharmaceutical assistance, APA, not ADAP",Procedure,Observation,SNOMED,Valid,Standard
1074426,1343305005,AIDS Clinical Trials Group system,Staging / Scales,Measurement,SNOMED,Valid,Standard
3540045,673571000000106,AIDS with viral/chlamydial disease NOS,Disorder,Condition,SNOMED,Invalid,Non-standard
4013407,103413000,HIV CDC category C2 (AIDS),Clinical Finding,Measurement,SNOMED,Invalid,Non-standard
4013408,103414006,HIV CDC category C3 (AIDS),Clinical Finding,Measurement,SNOMED,Invalid,Non-standard
4013737,103408004,HIV CDC category A3 (AIDS),Clinical Finding,Measurement,SNOMED,Invalid,Non-standard
4013738,103412005,HIV CDC category C1 (AIDS),Clinical Finding,Measurement,SNOMED,Invalid,Non-standard
4014172,103411003,HIV CDC category B3 (AIDS),Clinical Finding,Measurement,SNOMED,Invalid,Non-standard
4014176,103418009,HIV WHO class IV (AIDS),Clinical Finding,Observation,SNOMED,Invalid,Non-standard
4015838,170470004,AIDS contact,Clinical Finding,Observation,SNOMED,Invalid,Non-standard
4015845,170492000,AIDS carrier,Clinical Finding,Observation,SNOMED,Invalid,Non-standard
4017157,170530008,Notification of AIDS,Procedure,Observation,SNOMED,Valid,Standard
4043934,16810008,AIDS with viral pneumonia,Disorder,Condition,SNOMED,Invalid,Non-standard
4117542,286880007,AIDS with viral/chlamydial disease NOS,Disorder,Condition,SNOMED,Invalid,Non-standard
4157380,273454004,Fear of AIDS scale,Staging / Scales,Measurement,SNOMED,Valid,Standard
4164666,273263000,AIDS Risk Behavior Knowledge Test,Staging / Scales,Measurement,SNOMED,Valid,Standard
4211956,416729007,Neutropenia with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4220603,420281004,Skin rash with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4221503,420787001,Pneumococcal pneumonia with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4221607,420818005,Mycobacteriosis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4221911,420900006,Fatigue with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4221939,421009000,Prion disease associated with AIDS,Disorder,Condition,SNOMED,Invalid,Non-standard
4222062,421047005,Candidiasis of lung with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
