Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
10872	S14.121	Central cord syndrome at C1 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10873	S14.122	Central cord syndrome at C2 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10874	S14.123	Central cord syndrome at C3 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10875	S14.124	Central cord syndrome at C4 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10876	S14.125	Central cord syndrome at C5 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10877	S14.126	Central cord syndrome at C6 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10878	S14.127	Central cord syndrome at C7 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10879	S14.128	Central cord syndrome at C8 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10880	S14.129	Central cord syndrome at unspecified level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10881	S14.131	Anterior cord syndrome at C1 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10882	S14.132	Anterior cord syndrome at C2 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10883	S14.133	Anterior cord syndrome at C3 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10884	S14.134	Anterior cord syndrome at C4 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10885	S14.135	Anterior cord syndrome at C5 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10886	S14.136	Anterior cord syndrome at C6 level of cervical spinal cord	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
