Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept
4211956,416729007,Neutropenia with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4220603,420281004,Skin rash with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4221489,420721002,Acquired immunodeficiency syndrome-associated disorder,Disorder,Condition,SNOMED,Valid,Standard
4221503,420787001,Pneumococcal pneumonia with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4221607,420818005,Mycobacteriosis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4221911,420900006,Fatigue with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4222062,421047005,Candidiasis of lung with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4222224,421230000,Hepatomegaly with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4222250,420244003,Encephalitis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4222383,420321004,Intestinal malabsorption with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4222402,420384005,Hematopoietic system disease with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4222405,420395004,Acute endocarditis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4222712,421403008,Cryptococcosis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4222717,421415007,Subacute adenoviral encephalitis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4223032,420544002,Bacterial pneumonia with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4223276,420718004,Central nervous system demyelinating disease with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4223597,421883002,Strongyloidiasis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4223738,421983003,Noninfectious gastroenteritis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4223918,420308006,Retinal vascular changes with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4224078,420452002,Myelopathy with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4224096,420524008,Kaposi's sarcoma with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4224240,421023003,Presenile dementia with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4224425,421272004,Subacute myocarditis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4224553,421312009,Agranulocytosis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4224566,421394009,Skin disorder with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
4224578,421431004,Nocardiosis with AIDS (acquired immunodeficiency syndrome),Disorder,Condition,SNOMED,Valid,Standard
