Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
10023	O31.10	Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10024	O31.11	Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10025	O31.12	Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10026	O31.13	Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10027	O31.20	Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10028	O31.21	Continuing pregnancy after intrauterine death of one fetus or more, first trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10029	O31.22	Continuing pregnancy after intrauterine death of one fetus or more, second trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10030	O31.23	Continuing pregnancy after intrauterine death of one fetus or more, third trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10031	O31.30	Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10032	O31.31	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10033	O31.32	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10034	O31.33	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
22281	127040003	Sickle cell-hemoglobin SS disease	Disorder	Condition	SNOMED	Valid	Standard
24006	35434009	Sickle cell-hemoglobin C disease	Disorder	Condition	SNOMED	Valid	Standard
25518	16402000	Sickle cell trait	Disorder	Condition	SNOMED	Valid	Standard
26942	417425009	Hemoglobin SS disease with crisis	Disorder	Condition	SNOMED	Valid	Standard
28473	D018248	Adenoma, Liver Cell	Main Heading	Condition	MeSH	Valid	Non-standard
28487	D010212	Papilloma	Main Heading	Condition	MeSH	Valid	Non-standard
28698	C563236	Testicular Germ Cell Tumor	Suppl Concept	Condition	MeSH	Valid	Non-standard
30683	416180004	Hemoglobin SS disease without crisis	Disorder	Condition	SNOMED	Valid	Standard
74447	202429002	Diffuse tenosynovial giant cell tumor of lower leg	Disorder	Condition	SNOMED	Valid	Standard
76789	202430007	Diffuse tenosynovial giant cell tumor of ankle and foot	Disorder	Condition	SNOMED	Valid	Standard
79112	202427000	Diffuse tenosynovial giant cell tumor of hand	Disorder	Condition	SNOMED	Valid	Standard
81383	202424007	Diffuse tenosynovial giant cell tumor of shoulder region	Disorder	Condition	SNOMED	Valid	Standard
133154	95210003	Plasma cell leukemia	Disorder	Condition	SNOMED	Valid	Standard
133158	95209008	Plasma cell leukemia in remission	Disorder	Condition	SNOMED	Valid	Standard
137512	93206004	Malignant mast cell tumor of lymph nodes of multiple sites	Disorder	Condition	SNOMED	Invalid	Non-standard
138379	92814006	Chronic lymphoid leukemia, disease	Disorder	Condition	SNOMED	Valid	Standard
138723	234376007	Acquired red cell aplasia	Disorder	Condition	SNOMED	Valid	Standard
140065	50715003	Pure red cell aplasia	Disorder	Condition	SNOMED	Valid	Standard
196058	188664008	Mast cell malignancy of intra-abdominal lymph nodes	Disorder	Condition	SNOMED	Invalid	Non-standard
196943	95846001	Red blood cell sequestration in spleen	Disorder	Condition	SNOMED	Valid	Standard
197511	93207008	Malignant mast cell tumor of spleen	Disorder	Condition	SNOMED	Invalid	Non-standard
